No,Provinsi,Kabupaten/Kota,Kecamatan,Desa / Kelurahan
1,Jawa Timur,Malang,Utara,Desa Makmur
2,Jawa Timur,Banyuwangi,Selatan,Kelurahan Sejahtera
3,Jawa Timur,Jember,Timur,Desa Sentosa
4,Jawa Timur,Sidoarjo,Barat,Kelurahan Bahagia
5,Jawa Timur,Gresik,Tengah,Desa Jaya
6,Jawa Timur,Mojokerto,Pusat,Kelurahan Sari
7,Jawa Timur,Pasuruan,Kraton,Desa Mulya
8,Jawa Timur,Probolinggo,Sukun,Kelurahan Indah
9,Jawa Timur,Kediri,Lowokwaru,Desa Asri
10,Jawa Timur,Blitar,Klojen,Kelurahan Permai
11,Jawa Timur,Tulungagung,Blimbing,Desa Subur
12,Jawa Timur,Trenggalek,Kedungkandang,Kelurahan Tenteram
13,Jawa Timur,Ponorogo,Kenjeran,Desa Damai
14,Jawa Timur,Madiun,Gubeng,Kelurahan Raya
15,Jawa Timur,Magetan,Rungkut,Desa Agung
16,Jawa Timur,Ngawi,Sukolilo,Kelurahan Bersih
17,Jawa Timur,Bojonegoro,Mulyorejo,Desa Harmoni
18,Jawa Timur,Tuban,Sawahan,Kelurahan Mawar
19,Jawa Timur,Lamongan,Genteng,Desa Melati
20,Jawa Timur,Bangkalan,Tegalsari,Kelurahan Maju
21,Jawa Timur,Sampang,Bubutan,Desa Makmur
22,Jawa Timur,Pamekasan,Simokerto,Kelurahan Sejahtera
23,Jawa Timur,Sumenep,Pabean Cantian,Desa Sentosa
24,Jawa Timur,Pacitan,Semampir,Kelurahan Bahagia
25,Jawa Timur,Bondowoso,Krembangan,Desa Jaya
26,Jawa Timur,Situbondo,Bulak,Kelurahan Sari
27,Jawa Timur,Lumajang,Asemrowo,Desa Mulya
28,Jawa Timur,Jombang,Benowo,Kelurahan Indah
29,Jawa Timur,Nganjuk,Lakarsantri,Desa Asri
30,Jawa Timur,Batu,Sambikerep,Kelurahan Permai
31,Jawa Timur,Surabaya,Tandes,Desa Subur
32,Jawa Timur,Malang,Pakal,Kelurahan Tenteram
33,Jawa Timur,Banyuwangi,Dukuh Pakis,Desa Damai
34,Jawa Timur,Jember,Gayungan,Kelurahan Raya
35,Jawa Timur,Sidoarjo,Wonocolo,Desa Agung
36,Jawa Timur,Gresik,Wonokromo,Kelurahan Bersih
37,Jawa Timur,Mojokerto,Karangpilang,Desa Harmoni
38,Jawa Timur,Pasuruan,Jambangan,Kelurahan Mawar
39,Jawa Timur,Probolinggo,Wiyung,Desa Melati
40,Jawa Timur,Kediri,Kota,Kelurahan Maju
41,Jawa Timur,Blitar,Utara,Desa Makmur
42,Jawa Timur,Tulungagung,Selatan,Kelurahan Sejahtera
43,Jawa Timur,Trenggalek,Timur,Desa Sentosa
44,Jawa Timur,Ponorogo,Barat,Kelurahan Bahagia
45,Jawa Timur,Madiun,Tengah,Desa Jaya
46,Jawa Timur,Magetan,Pusat,Kelurahan Sari
47,Jawa Timur,Ngawi,Kraton,Desa Mulya
48,Jawa Timur,Bojonegoro,Sukun,Kelurahan Indah
49,Jawa Timur,Tuban,Lowokwaru,Desa Asri
50,Jawa Timur,Lamongan,Klojen,Kelurahan Permai
51,Jawa Timur,Bangkalan,Blimbing,Desa Subur
52,Jawa Timur,Sampang,Kedungkandang,Kelurahan Tenteram
53,Jawa Timur,Pamekasan,Kenjeran,Desa Damai
54,Jawa Timur,Sumenep,Gubeng,Kelurahan Raya
55,Jawa Timur,Pacitan,Rungkut,Desa Agung
56,Jawa Timur,Bondowoso,Sukolilo,Kelurahan Bersih
57,Jawa Timur,Situbondo,Mulyorejo,Desa Harmoni
58,Jawa Timur,Lumajang,Sawahan,Kelurahan Mawar
59,Jawa Timur,Jombang,Genteng,Desa Melati
60,Jawa Timur,Nganjuk,Tegalsari,Kelurahan Maju
61,Jawa Timur,Batu,Bubutan,Desa Makmur
62,Jawa Timur,Surabaya,Simokerto,Kelurahan Sejahtera
63,Jawa Timur,Malang,Pabean Cantian,Desa Sentosa
64,Jawa Timur,Banyuwangi,Semampir,Kelurahan Bahagia
65,Jawa Timur,Jember,Krembangan,Desa Jaya
66,Jawa Timur,Sidoarjo,Bulak,Kelurahan Sari
67,Jawa Timur,Gresik,Asemrowo,Desa Mulya
68,Jawa Timur,Mojokerto,Benowo,Kelurahan Indah
69,Jawa Timur,Pasuruan,Lakarsantri,Desa Asri
70,Jawa Timur,Probolinggo,Sambikerep,Kelurahan Permai
71,Jawa Timur,Kediri,Tandes,Desa Subur
72,Jawa Timur,Blitar,Pakal,Kelurahan Tenteram
73,Jawa Timur,Tulungagung,Dukuh Pakis,Desa Damai
74,Jawa Timur,Trenggalek,Gayungan,Kelurahan Raya
75,Jawa Timur,Ponorogo,Wonocolo,Desa Agung
76,Jawa Timur,Madiun,Wonokromo,Kelurahan Bersih
77,Jawa Timur,Magetan,Karangpilang,Desa Harmoni
78,Jawa Timur,Ngawi,Jambangan,Kelurahan Mawar
79,Jawa Timur,Bojonegoro,Wiyung,Desa Melati
80,Jawa Timur,Tuban,Kota,Kelurahan Maju
81,Jawa Timur,Lamongan,Utara,Desa Makmur
82,Jawa Timur,Bangkalan,Selatan,Kelurahan Sejahtera
83,Jawa Timur,Sampang,Timur,Desa Sentosa
84,Jawa Timur,Pamekasan,Barat,Kelurahan Bahagia
85,Jawa Timur,Sumenep,Tengah,Desa Jaya
86,Jawa Timur,Pacitan,Pusat,Kelurahan Sari
87,Jawa Timur,Bondowoso,Kraton,Desa Mulya
88,Jawa Timur,Situbondo,Sukun,Kelurahan Indah
89,Jawa Timur,Lumajang,Lowokwaru,Desa Asri
90,Jawa Timur,Jombang,Klojen,Kelurahan Permai
91,Jawa Timur,Nganjuk,Blimbing,Desa Subur
92,Jawa Timur,Batu,Kedungkandang,Kelurahan Tenteram
93,Jawa Timur,Surabaya,Kenjeran,Desa Damai
94,Jawa Timur,Malang,Gubeng,Kelurahan Raya
95,Jawa Timur,Banyuwangi,Rungkut,Desa Agung
96,Jawa Timur,Jember,Sukolilo,Kelurahan Bersih
97,Jawa Timur,Sidoarjo,Mulyorejo,Desa Harmoni
98,Jawa Timur,Gresik,Sawahan,Kelurahan Mawar
99,Jawa Timur,Mojokerto,Genteng,Desa Melati
100,Jawa Timur,Pasuruan,Tegalsari,Kelurahan Maju
101,Jawa Timur,Probolinggo,Bubutan,Desa Makmur
102,Jawa Timur,Kediri,Simokerto,Kelurahan Sejahtera
103,Jawa Timur,Blitar,Pabean Cantian,Desa Sentosa
104,Jawa Timur,Tulungagung,Semampir,Kelurahan Bahagia
105,Jawa Timur,Trenggalek,Krembangan,Desa Jaya
106,Jawa Timur,Ponorogo,Bulak,Kelurahan Sari
107,Jawa Timur,Madiun,Asemrowo,Desa Mulya
108,Jawa Timur,Magetan,Benowo,Kelurahan Indah
109,Jawa Timur,Ngawi,Lakarsantri,Desa Asri
110,Jawa Timur,Bojonegoro,Sambikerep,Kelurahan Permai
111,Jawa Timur,Tuban,Tandes,Desa Subur
112,Jawa Timur,Lamongan,Pakal,Kelurahan Tenteram
113,Jawa Timur,Bangkalan,Dukuh Pakis,Desa Damai
114,Jawa Timur,Sampang,Gayungan,Kelurahan Raya
115,Jawa Timur,Pamekasan,Wonocolo,Desa Agung
116,Jawa Timur,Sumenep,Wonokromo,Kelurahan Bersih
117,Jawa Timur,Pacitan,Karangpilang,Desa Harmoni
118,Jawa Timur,Bondowoso,Jambangan,Kelurahan Mawar
119,Jawa Timur,Situbondo,Wiyung,Desa Melati
120,Jawa Timur,Lumajang,Kota,Kelurahan Maju
121,Jawa Timur,Jombang,Utara,Desa Makmur
122,Jawa Timur,Nganjuk,Selatan,Kelurahan Sejahtera
123,Jawa Timur,Batu,Timur,Desa Sentosa
124,Jawa Timur,Surabaya,Barat,Kelurahan Bahagia
125,Jawa Timur,Malang,Tengah,Desa Jaya
126,Jawa Timur,Banyuwangi,Pusat,Kelurahan Sari
127,Jawa Timur,Jember,Kraton,Desa Mulya
128,Jawa Timur,Sidoarjo,Sukun,Kelurahan Indah
129,Jawa Timur,Gresik,Lowokwaru,Desa Asri
130,Jawa Timur,Mojokerto,Klojen,Kelurahan Permai
131,Jawa Timur,Pasuruan,Blimbing,Desa Subur
132,Jawa Timur,Probolinggo,Kedungkandang,Kelurahan Tenteram
133,Jawa Timur,Kediri,Kenjeran,Desa Damai
134,Jawa Timur,Blitar,Gubeng,Kelurahan Raya
135,Jawa Timur,Tulungagung,Rungkut,Desa Agung
136,Jawa Timur,Trenggalek,Sukolilo,Kelurahan Bersih
137,Jawa Timur,Ponorogo,Mulyorejo,Desa Harmoni
138,Jawa Timur,Madiun,Sawahan,Kelurahan Mawar
139,Jawa Timur,Magetan,Genteng,Desa Melati
140,Jawa Timur,Ngawi,Tegalsari,Kelurahan Maju
141,Jawa Timur,Bojonegoro,Bubutan,Desa Makmur
142,Jawa Timur,Tuban,Simokerto,Kelurahan Sejahtera
143,Jawa Timur,Lamongan,Pabean Cantian,Desa Sentosa
144,Jawa Timur,Bangkalan,Semampir,Kelurahan Bahagia
145,Jawa Timur,Sampang,Krembangan,Desa Jaya
146,Jawa Timur,Pamekasan,Bulak,Kelurahan Sari
147,Jawa Timur,Sumenep,Asemrowo,Desa Mulya
148,Jawa Timur,Pacitan,Benowo,Kelurahan Indah
149,Jawa Timur,Bondowoso,Lakarsantri,Desa Asri
150,Jawa Timur,Situbondo,Sambikerep,Kelurahan Permai
151,Jawa Timur,Lumajang,Tandes,Desa Subur
152,Jawa Timur,Jombang,Pakal,Kelurahan Tenteram
153,Jawa Timur,Nganjuk,Dukuh Pakis,Desa Damai
154,Jawa Timur,Batu,Gayungan,Kelurahan Raya
155,Jawa Timur,Surabaya,Wonocolo,Desa Agung
156,Jawa Timur,Malang,Wonokromo,Kelurahan Bersih
157,Jawa Timur,Banyuwangi,Karangpilang,Desa Harmoni
158,Jawa Timur,Jember,Jambangan,Kelurahan Mawar
159,Jawa Timur,Sidoarjo,Wiyung,Desa Melati
160,Jawa Timur,Gresik,Kota,Kelurahan Maju
161,Jawa Timur,Mojokerto,Utara,Desa Makmur
162,Jawa Timur,Pasuruan,Selatan,Kelurahan Sejahtera
163,Jawa Timur,Probolinggo,Timur,Desa Sentosa
164,Jawa Timur,Kediri,Barat,Kelurahan Bahagia
165,Jawa Timur,Blitar,Tengah,Desa Jaya
166,Jawa Timur,Tulungagung,Pusat,Kelurahan Sari
167,Jawa Timur,Trenggalek,Kraton,Desa Mulya
168,Jawa Timur,Ponorogo,Sukun,Kelurahan Indah
169,Jawa Timur,Madiun,Lowokwaru,Desa Asri
170,Jawa Timur,Magetan,Klojen,Kelurahan Permai
171,Jawa Timur,Ngawi,Blimbing,Desa Subur
172,Jawa Timur,Bojonegoro,Kedungkandang,Kelurahan Tenteram
173,Jawa Timur,Tuban,Kenjeran,Desa Damai
174,Jawa Timur,Lamongan,Gubeng,Kelurahan Raya
175,Jawa Timur,Bangkalan,Rungkut,Desa Agung
176,Jawa Timur,Sampang,Sukolilo,Kelurahan Bersih
