No,Provinsi,Kabupaten/Kota,Kecamatan,Desa / Kelurahan
1,Jawa Timur,Blitar,Pakis,Kelurahan Tenteram
2,Jawa Timur,Blitar,Lawang,Kelurahan Indah
3,Jawa Timur,Jombang,Pakis,Kelurahan Tenteram
4,Jawa Timur,Blitar,Lawang,Desa Sentosa
5,Jawa Timur,Blitar,Timur,Desa Sentosa
6,Jawa Timur,Madiun,Dau,Kelurahan Sejahtera
7,Jawa Timur,Madiun,Barat,Kelurahan Maju
8,Jawa Timur,Trenggalek,Singosari,Desa Subur
9,Jawa Timur,Jombang,Utara,Kelurahan Indah
10,Jawa Timur,Kediri,Timur,Desa Damai
11,Jawa Timur,Kediri,Pakis,Desa Asri
12,Jawa Timur,Ngawi,Kota,Kelurahan Sejahtera
13,Jawa Timur,Jombang,Tumpang,Kelurahan Bahagia
14,Jawa Timur,Madiun,Pakis,Desa Makmur
15,Jawa Timur,Blitar,Kepanjen,Desa Sentosa
16,Jawa Timur,Kediri,Utara,Kelurahan Tenteram
17,Jawa Timur,Ngawi,Wajak,Desa Makmur
18,Jawa Timur,Kediri,Kota,Desa Subur
19,Jawa Timur,Tulungagung,Barat,Kelurahan Permai
20,Jawa Timur,Ponorogo,Pakis,Desa Makmur
21,Jawa Timur,Tulungagung,Wajak,Desa Asri
22,Jawa Timur,Madiun,Barat,Desa Asri
23,Jawa Timur,Blitar,Wajak,Desa Subur
24,Jawa Timur,Tulungagung,Tumpang,Kelurahan Maju
25,Jawa Timur,Jombang,Barat,Desa Makmur
26,Jawa Timur,Tulungagung,Tumpang,Kelurahan Maju
27,Jawa Timur,Madiun,Lawang,Kelurahan Sari
28,Jawa Timur,Trenggalek,Lawang,Kelurahan Bahagia
29,Jawa Timur,Kediri,Tengah,Desa Mulya
30,Jawa Timur,Ponorogo,Dau,Desa Subur
31,Jawa Timur,Nganjuk,Dau,Kelurahan Indah
32,Jawa Timur,Tulungagung,Dau,Desa Jaya
33,Jawa Timur,Tulungagung,Barat,Kelurahan Indah
34,Jawa Timur,Tulungagung,Barat,Kelurahan Maju
35,Jawa Timur,Kediri,Pakis,Kelurahan Permai
36,Jawa Timur,Kediri,Wajak,Desa Mulya
37,Jawa Timur,Jombang,Selatan,Desa Makmur
38,Jawa Timur,Kediri,Dau,Kelurahan Maju
39,Jawa Timur,Blitar,Wajak,Kelurahan Tenteram
40,Jawa Timur,Tulungagung,Utara,Desa Mulya
41,Jawa Timur,Jombang,Wajak,Desa Makmur
42,Jawa Timur,Mojokerto,Kota,Kelurahan Maju
43,Jawa Timur,Kediri,Tengah,Kelurahan Maju
44,Jawa Timur,Blitar,Singosari,Desa Subur
45,Jawa Timur,Jombang,Selatan,Kelurahan Bahagia
46,Jawa Timur,Madiun,Kota,Kelurahan Indah
47,Jawa Timur,Kediri,Kepanjen,Desa Sentosa
48,Jawa Timur,Ponorogo,Utara,Kelurahan Tenteram
49,Jawa Timur,Kediri,Tengah,Kelurahan Tenteram
50,Jawa Timur,Madiun,Kota,Kelurahan Permai
51,Jawa Timur,Kediri,Kota,Kelurahan Indah
52,Jawa Timur,Ngawi,Timur,Desa Sentosa
53,Jawa Timur,Nganjuk,Timur,Desa Mulya
54,Jawa Timur,Tulungagung,Pakis,Kelurahan Indah
55,Jawa Timur,Jombang,Tumpang,Desa Sentosa
56,Jawa Timur,Pacitan,Barat,Kelurahan Permai
57,Jawa Timur,Madiun,Wajak,Desa Mulya
58,Jawa Timur,Trenggalek,Dau,Desa Subur
59,Jawa Timur,Blitar,Singosari,Desa Mulya
60,Jawa Timur,Kediri,Utara,Kelurahan Tenteram
61,Jawa Timur,Kediri,Pakis,Kelurahan Indah
62,Jawa Timur,Ngawi,Tumpang,Kelurahan Bahagia
63,Jawa Timur,Kediri,Barat,Desa Makmur
64,Jawa Timur,Ponorogo,Kota,Kelurahan Sari
65,Jawa Timur,Blitar,Wajak,Desa Jaya
66,Jawa Timur,Kediri,Pakis,Desa Sentosa
67,Jawa Timur,Blitar,Selatan,Desa Asri
68,Jawa Timur,Kediri,Singosari,Desa Subur
69,Jawa Timur,Kediri,Barat,Desa Mulya
70,Jawa Timur,Blitar,Kota,Desa Makmur
71,Jawa Timur,Pacitan,Barat,Desa Damai
72,Jawa Timur,Jombang,Lawang,Desa Asri
73,Jawa Timur,Bojonegoro,Kota,Desa Mulya
74,Jawa Timur,Blitar,Wajak,Kelurahan Sari
75,Jawa Timur,Tulungagung,Barat,Kelurahan Sejahtera
76,Jawa Timur,Tulungagung,Kota,Desa Makmur
77,Jawa Timur,Madiun,Wajak,Kelurahan Indah
78,Jawa Timur,Blitar,Dau,Kelurahan Indah
79,Jawa Timur,Kediri,Kepanjen,Kelurahan Bahagia
80,Jawa Timur,Blitar,Timur,Desa Makmur
81,Jawa Timur,Ponorogo,Dau,Kelurahan Permai
82,Jawa Timur,Blitar,Kota,Desa Jaya
83,Jawa Timur,Tulungagung,Singosari,Kelurahan Tenteram
84,Jawa Timur,Kediri,Dau,Kelurahan Bahagia
85,Jawa Timur,Kediri,Kota,Kelurahan Sejahtera
86,Jawa Timur,Blitar,Wajak,Desa Jaya
87,Jawa Timur,Trenggalek,Kepanjen,Kelurahan Indah
88,Jawa Timur,Mojokerto,Tengah,Desa Asri
89,Jawa Timur,Kediri,Wajak,Kelurahan Permai
90,Jawa Timur,Tulungagung,Kota,Desa Subur
91,Jawa Timur,Blitar,Dau,Kelurahan Indah
92,Jawa Timur,Magetan,Kepanjen,Kelurahan Permai
93,Jawa Timur,Kediri,Wajak,Kelurahan Bahagia
94,Jawa Timur,Trenggalek,Lawang,Kelurahan Maju
95,Jawa Timur,Madiun,Kepanjen,Kelurahan Permai
96,Jawa Timur,Blitar,Barat,Desa Makmur
97,Jawa Timur,Madiun,Kota,Kelurahan Sari
98,Jawa Timur,Kediri,Dau,Desa Makmur
99,Jawa Timur,Tulungagung,Kota,Desa Sentosa
100,Jawa Timur,Blitar,Pakis,Desa Mulya
101,Jawa Timur,Blitar,Kepanjen,Kelurahan Tenteram
102,Jawa Timur,Jombang,Tengah,Kelurahan Sari
103,Jawa Timur,Trenggalek,Lawang,Desa Jaya
104,Jawa Timur,Ngawi,Tumpang,Kelurahan Bahagia
105,Jawa Timur,Blitar,Dau,Kelurahan Indah
106,Jawa Timur,Blitar,Selatan,Kelurahan Sejahtera
107,Jawa Timur,Ponorogo,Timur,Kelurahan Sari
108,Jawa Timur,Mojokerto,Kota,Kelurahan Bahagia
109,Jawa Timur,Tulungagung,Tengah,Desa Damai
110,Jawa Timur,Blitar,Pakis,Desa Asri
111,Jawa Timur,Madiun,Tumpang,Desa Jaya
112,Jawa Timur,Magetan,Wajak,Desa Asri
113,Jawa Timur,Blitar,Timur,Desa Mulya
114,Jawa Timur,Ngawi,Timur,Desa Mulya
115,Jawa Timur,Ponorogo,Wajak,Kelurahan Sejahtera
116,Jawa Timur,Bojonegoro,Pakis,Kelurahan Permai
117,Jawa Timur,Blitar,Tumpang,Kelurahan Sari
118,Jawa Timur,Kediri,Utara,Desa Subur
119,Jawa Timur,Kediri,Utara,Desa Sentosa
120,Jawa Timur,Mojokerto,Tumpang,Desa Subur
121,Jawa Timur,Ponorogo,Tengah,Kelurahan Permai
122,Jawa Timur,Kediri,Selatan,Desa Asri
123,Jawa Timur,Kediri,Lawang,Kelurahan Permai
124,Jawa Timur,Blitar,Selatan,Desa Makmur
125,Jawa Timur,Mojokerto,Utara,Kelurahan Sari
126,Jawa Timur,Jombang,Barat,Desa Subur
127,Jawa Timur,Ngawi,Pakis,Kelurahan Indah
128,Jawa Timur,Kediri,Kepanjen,Desa Sentosa
129,Jawa Timur,Blitar,Wajak,Desa Jaya
130,Jawa Timur,Blitar,Wajak,Desa Makmur
131,Jawa Timur,Nganjuk,Dau,Kelurahan Sejahtera
132,Jawa Timur,Blitar,Pakis,Kelurahan Sejahtera
133,Jawa Timur,Magetan,Dau,Desa Sentosa
134,Jawa Timur,Tulungagung,Kota,Kelurahan Tenteram
135,Jawa Timur,Magetan,Timur,Desa Makmur
136,Jawa Timur,Ponorogo,Selatan,Desa Subur
137,Jawa Timur,Tulungagung,Timur,Desa Subur
138,Jawa Timur,Kediri,Tengah,Kelurahan Sejahtera
139,Jawa Timur,Kediri,Tumpang,Desa Asri
140,Jawa Timur,Blitar,Kepanjen,Kelurahan Maju
141,Jawa Timur,Tulungagung,Tumpang,Desa Jaya
142,Jawa Timur,Magetan,Lawang,Desa Makmur
143,Jawa Timur,Blitar,Utara,Kelurahan Sari
144,Jawa Timur,Nganjuk,Timur,Kelurahan Bahagia
145,Jawa Timur,Blitar,Lawang,Kelurahan Sejahtera
146,Jawa Timur,Kediri,Kota,Kelurahan Maju
147,Jawa Timur,Tulungagung,Barat,Desa Sentosa
148,Jawa Timur,Blitar,Selatan,Desa Jaya
149,Jawa Timur,Kediri,Utara,Kelurahan Bahagia
150,Jawa Timur,Ngawi,Singosari,Desa Makmur
151,Jawa Timur,Tulungagung,Kepanjen,Kelurahan Bahagia
152,Jawa Timur,Kediri,Tumpang,Kelurahan Maju
153,Jawa Timur,Blitar,Kota,Kelurahan Maju
154,Jawa Timur,Mojokerto,Wajak,Desa Jaya
155,Jawa Timur,Ponorogo,Dau,Desa Jaya
156,Jawa Timur,Jombang,Barat,Kelurahan Tenteram
157,Jawa Timur,Kediri,Kepanjen,Kelurahan Bahagia
158,Jawa Timur,Blitar,Selatan,Desa Asri
159,Jawa Timur,Madiun,Kota,Kelurahan Bahagia
160,Jawa Timur,Trenggalek,Kota,Kelurahan Bahagia
161,Jawa Timur,Blitar,Tumpang,Kelurahan Sari
162,Jawa Timur,Kediri,Wajak,Kelurahan Maju
163,Jawa Timur,Kediri,Barat,Kelurahan Bahagia
